uid,bucket,slug,new_slug,old_url,new_url,old_title,new_title,old_seo_title,new_seo_title,redirect_from,redirect_to
bltb4d51965b514f7c6,GA,useful-plugins,cli-useful-plugins,/headless-cms/useful-plugins,/headless-cms/cli-useful-plugins,[Contentstack Command-line Interface (CLI)] - Useful Plugins,[Contentstack Command-line Interface (CLI)] - Useful Plugins,Useful Plugins,Useful Plugins | Contentstack,/docs/headless-cms/useful-plugins,/docs/headless-cms/cli-useful-plugins
bltc569502a4237c38f,old,bootstrap-starter-apps,cli-bootstrap-starter-apps,/headless-cms/bootstrap-starter-apps/old-commands,/headless-cms/cli-bootstrap-starter-apps/v0,[Contentstack Command-line Interface (CLI)] - Bootstrap Starter Apps | Old Commands,[Contentstack Command-line Interface (CLI)] - Bootstrap Starter Apps | V0.x.x,Bootstrap Starter Apps using the CLI | Old Commands | Contentstack Documentation,Bootstrap Starter Apps using the CLI | V0.x.x | Contentstack Documentation,/docs/headless-cms/bootstrap-starter-apps/old-commands,/docs/headless-cms/cli-bootstrap-starter-apps/v0
bltb8dd8dab38ffc4c1,old,branches-migration-use-cases,cli-branches-migration-use-cases,/headless-cms/branches-migration-use-cases/old-commands,/headless-cms/cli-branches-migration-use-cases/v0,[Contentstack Command-line Interface (CLI)] - Branches | Migration Use Cases | Old Commands,[Contentstack Command-line Interface (CLI)] - Branches | Migration Use Cases | V0.x.x,Branches | Migration Use Cases,Branches | Migration Use Cases | V0.x.x | Contentstack,/docs/headless-cms/branches-migration-use-cases/old-commands,/docs/headless-cms/cli-branches-migration-use-cases/v0
blt7cd9c7438ee7322e,old,bulk-publish-and-unpublish-content,cli-bulk-publish-and-unpublish-content,/headless-cms/bulk-publish-and-unpublish-content/old-commands,/headless-cms/cli-bulk-publish-and-unpublish-content/v0,[Contentstack Command-line Interface (CLI)] - Bulk Publish and Unpublish Content | Old Commands,[Contentstack Command-line Interface (CLI)] - Bulk Publish and Unpublish Content | V0.x.x,Bulk Publish and Unpublish Content | Old Commands | Contentstack,Bulk Publish and Unpublish Content | V0.x.x | Contentstack,/docs/headless-cms/bulk-publish-and-unpublish-content/old-commands,/docs/headless-cms/bulk-operations-in-cli
bltb29a84507c788306,old,cli-authentication,cli-authentication,/headless-cms/cli-authentication/old-commands,/headless-cms/cli-authentication/v0,[Contentstack Command-line Interface (CLI)] - CLI Authentication and Adding Tokens | Old Commands,[Contentstack Command-line Interface (CLI)] - CLI Authentication and Adding Tokens | V0.x.x,CLI Authentication | Old Commands | Contentstack,CLI Authentication | V0.x.x | Contentstack,/docs/headless-cms/cli-authentication/old-commands,/docs/headless-cms/cli-authentication/v0
bltee9040b2a40f7437,old,cloning-a-stack,cli-cloning-a-stack,/headless-cms/cloning-a-stack/old-commands,/headless-cms/cli-cloning-a-stack/v0,[Contentstack Command-line Interface (CLI)] - Cloning a Stack | Old Commands,[Contentstack Command-line Interface (CLI)] - Cloning a Stack | V0.x.x,Cloning a Stack | Old Commands | Contentstack,Cloning a Stack | V0.x.x | Contentstack,/docs/headless-cms/cloning-a-stack/old-commands,/docs/headless-cms/cli-cloning-a-stack/v0
bltb2a9262996cb0033,old,configure-regions-in-the-cli,configure-regions-in-the-cli,/headless-cms/configure-regions-in-the-cli/old-commands,/headless-cms/configure-regions-in-the-cli/v0,[Contentstack Command-line Interface (CLI)] - Configure Regions in the CLI | Old Commands,[Contentstack Command-line Interface (CLI)] - Configure Regions in the CLI | V0.x.x,Configure Regions in the CLI | Old Commands | Contenstack,Configure Regions in the CLI | V0.x.x | Contentstack,/docs/headless-cms/configure-regions-in-the-cli/old-commands,/docs/headless-cms/configure-regions-in-the-cli/v0
blt0a21fe8af5279f9d,old,export-content-to-csv-file,cli-export-content-to-csv-file,/headless-cms/export-content-to-csv-file/old-commands,/headless-cms/cli-export-content-to-csv-file/v0,[Contentstack Command-line Interface (CLI)] - Export Content to .CSV File | Old Commands,[Contentstack Command-line Interface (CLI)] - Export Content to .CSV File | V0.x.x,Export Content to .CSV File | Old Commands | Contentstack,Export Content to .CSV File | V0.x.x | Contentstack,/docs/headless-cms/export-content-to-csv-file/old-commands,/docs/headless-cms/cli-export-content-to-csv-file/v0
blt88f14f6af9eca1d9,old,export-content-using-the-cli,export-content-using-the-cli,/headless-cms/export-content-using-the-cli/old-commands,/headless-cms/export-content-using-the-cli/v0,[Contentstack Command-line Interface (CLI)] - Export Content using the CLI | Old Commands,[Contentstack Command-line Interface (CLI)] - Export Content using the CLI | V0.x.x,Export Content using the CLI | Old Commands | Contentstack,Export Content using the CLI | V0.x.x | Contentstack,/docs/headless-cms/export-content-using-the-cli/old-commands,/docs/headless-cms/export-content-using-the-cli/v0
bltc452d443530ac981,old,import-content-using-the-cli,import-content-using-the-cli,/headless-cms/import-content-using-the-cli/old-commands,/headless-cms/import-content-using-the-cli/v0,[Contentstack Command-line Interface (CLI)] - Import Content using the CLI | Old Commands,[Contentstack Command-line Interface (CLI)] - Import Content using the CLI | V0.x.x,Import Content using the CLI | Old Commands | Contentstack,Import Content using the CLI | V0.x.x | Contentstack,/docs/headless-cms/import-content-using-the-cli/old-commands,/docs/headless-cms/import-content-using-the-cli/v0
blt78f6b7d84156806f,old,import-content-using-the-seed-command,cli-import-content-using-the-seed-command,/headless-cms/import-content-using-the-seed-command/old-commands,/headless-cms/cli-import-content-using-the-seed-command/v0,[Contentstack Command-line Interface (CLI)] - Import Content using the Seed Command | Old Commands,[Contentstack Command-line Interface (CLI)] - Import Content using the Seed Command | V0.x.x,Import Content using the Seed Command | Old Commands | Contentstack,Import Content using the Seed Command | V0.x.x | Contentstack,/docs/headless-cms/import-content-using-the-seed-command/old-commands,/docs/headless-cms/cli-import-content-using-the-seed-command/v0
bltcddcfb50d44a61db,old,migrate-content-from-html-rte-to-json-rte,cli-migrate-content-from-html-rte-to-json-rte,/headless-cms/migrate-content-from-html-rte-to-json-rte/old-commands,/headless-cms/cli-migrate-content-from-html-rte-to-json-rte/v0,[Contentstack Command-line Interface (CLI)] - Migrate Content from HTML RTE to JSON RTE | Old Commands,[Contentstack Command-line Interface (CLI)] - Migrate Content from HTML RTE to JSON RTE | V0.x.x,Migrate Content from HTML RTE to JSON RTE | Old Commands | Contentstack,Migrate Content from HTML RTE to JSON RTE | V0.x.x | Contentstack,/docs/headless-cms/migrate-content-from-html-rte-to-json-rte/old-commands,/docs/headless-cms/cli-migrate-content-from-html-rte-to-json-rte/v0
bltce91c490961bf924,old,migrate-your-content-using-the-cli-migration-command,migrate-your-content-using-the-cli-migration-command,/headless-cms/migrate-your-content-using-the-cli-migration-command/old-commands,/headless-cms/migrate-your-content-using-the-cli-migration-command/v0,[Contentstack Command-line Interface (CLI)] - Migrate your Content using the CLI Migration Command | Old Commands,[Contentstack Command-line Interface (CLI)] - Migrate your Content using the CLI Migration Command | V0.x.x,Migrate your Content using the CLI Migration Command | Old Commands | Contentstack,Migrate your Content using the CLI Migration Command | V0.x.x | Contentstack,/docs/headless-cms/migrate-your-content-using-the-cli-migration-command/old-commands,/docs/headless-cms/migrate-your-content-using-the-cli-migration-command/v0
